Date,Number applicants,Applicants Percent Change,Number admitted,Number admitted who enrolled,Percent applicants admitted,Percent admitted who enrolled,CCI,CCI Percent Change,CPI,CPI Percent Change,Employment Level,Employment level Percent Change,GDP,GDP Percent Change,Inflation,Inflation Percent Change,UNRATE,UNRATE Percent Change
2002,"5,211,410",,"3,241,916","1,395,443",62.20%,43.00%,100.41002916666667,,,,136480916.66666666,,10929.108250000001,,1.58603162650601,,5.783333333333334,
2003,"5,538,105",6.268840870321091,"3,404,568","1,429,163",61.50%,42.00%,100.25286666666666,-0.15652071939860068,,,137729250.0,0.9146577879325157,11456.4495,4.825107757533642,2.27009497336115,43.13049849845147,5.991666666666667,3.6023054755043082
2004,"5,764,682",4.091236984491986,"3,514,499","1,446,050",61.00%,41.10%,101.06824999999999,0.813326701214856,,,139239750.0,1.0967169283213174,12217.19575,6.6403317188278965,2.67723669309172,17.935008204865866,5.541666666666667,-7.5104311543810915
2005,"6,060,330",5.128609002196471,"3,668,363","1,476,467",60.50%,40.20%,100.31510250000001,-0.7451870394510451,,,141710083.33333334,1.7741581217528335,13039.197,6.72823180393094,3.3927468454955,26.725696470919647,5.083333333333333,-8.270676691729328
2006,"6,511,621",7.446640694483642,"3,873,095","1,530,044",59.50%,39.50%,100.18331666666667,-0.13137187726378619,,,144417583.33333334,1.9105909306618374,13815.583,5.954247029169046,3.22594410070404,-4.916451252851994,4.608333333333333,-9.344262295081961
2007,"6,951,851",6.760682171152155,"4,048,214","1,557,934",58.20%,38.50%,99.96997666666665,-0.21294962784057514,,,146050166.66666666,1.130460222122065,14474.227,4.767399247646664,2.85267248150138,-11.570926449754538,4.616666666666666,0.18083182640142859
2008,"7,443,672",7.074676945751568,"4,263,623","1,594,308",57.30%,37.40%,97.37241916666666,-2.598337607561041,,,145373250.0,-0.4634822966081198,14769.86175,2.0424907665189895,3.839100296651,34.5790770425372,5.8,25.6317689530686
2009,"7,931,851",6.558308856166684,"4,549,215","1,652,251",57.40%,36.30%,97.68776666666668,0.323857107278247,,,139893916.66666666,-3.769148267190381,14478.06725,-1.9756075238822057,-0.355546266299747,-109.26118722685897,9.283333333333333,60.05747126436782
2010,"8,169,031",2.9902225848670083,"4,617,760","1,582,583",56.50%,34.30%,98.33635083333333,0.6639359141864309,0.025956627280750776,,139077166.66666666,-0.5838352513541478,15048.971,3.943231787378254,1.6400434423899,-561.2742694384657,9.608333333333334,3.5008976660682256
2011,"8,570,050",4.909015524607518,"4,760,581","1,567,022",55.50%,32.90%,97.82495999999999,-0.5200425163224498,0.5850364089158798,,139885166.66666666,0.5809724337687783,15599.7315,3.6597884333752884,3.156841568622,92.48524075812257,8.933333333333334,-7.0251517779705175
2012,"8,841,631",3.1689546735433227,"4,925,918","1,551,495",55.70%,31.50%,98.88504083333333,1.0836506688409075,1.9170027398943492,227.67238255251695,142474583.33333334,1.8511016774473532,16253.970000000001,4.193908722082829,2.06933726526067,-34.44912516899096,8.075,-9.608208955223896
2013,"9,188,237",3.920159074722762,"5,136,277","1,545,575",55.90%,30.10%,99.2121975,0.3308454584329601,1.4178317359059063,-26.03913878683103,143940666.66666666,1.0290139469320447,16880.683250000002,3.8557549324872653,1.46483265562717,-29.21247395394253,7.358333333333333,-8.875128998967996
2014,"9,580,899",4.273529296207745,"5,364,856","1,555,529",56.00%,29.00%,99.80132666666667,0.5938071945908341,1.6293209706160419,14.916384600109623,146318666.66666666,1.6520696027529924,17608.13825,4.309393104689629,1.62222297740817,10.744594010543352,6.158333333333334,-16.30804077010192
2015,"9,951,309",3.866129890316139,"5,549,546","1,578,155",55.80%,28.40%,100.81924166666666,1.019941351481024,0.07675189270171778,-95.28933254491298,148844666.66666666,1.7263689299155338,18295.019,3.9009277428861733,0.118627135552451,-92.6873717605713,5.2749999999999995,-14.343707713125864
2016,"10,421,102",4.720916615090531,"5,814,536","1,580,226",55.80%,27.20%,100.70384166666666,-0.11446227733148406,1.1922929925784864,1453.4379031043775,151436416.66666666,1.7412447876309578,18804.91325,2.787065976810421,1.26158320570536,963.4861912749725,4.875,-7.582938388625582
2017,"10,685,157",2.5338491073208846,"6,019,595","1,605,016",56.30%,26.70%,101.28655833333333,0.5786439295885959,2.1175215120636093,77.60076803640332,153334583.33333334,1.2534413507979458,19612.1025,4.292438041425162,2.13011000365961,68.84419466163159,4.358333333333333,-10.598290598290594
2018,"11,266,669",5.442241045218155,"6,280,657","1,625,866",55.70%,25.90%,101.45122500000001,0.1625750438915663,2.4051469889399275,13.583119474239291,155763000.0,1.5837370890998015,20656.5155,5.325349487644182,2.44258329692817,14.669350067917563,3.891666666666666,-10.70745697896751
2019,"11,527,282",2.3131326570435373,"6,546,732","1,616,704",56.80%,24.70%,101.23219166666667,-0.21590013657630802,1.8853359533243301,-21.61244356398795,157537083.33333334,1.1389632540034222,21521.395,4.1869573791378345,1.81221007526021,-25.80764481852992,3.6750000000000003,-5.567451820128455
2020,"11,530,192",0.02524445918821172,"7,001,840","1,551,428",60.70%,22.20%,99.46104666666668,-1.749586738013087,1.1989341730799892,-36.40739885292268,147814750.0,-6.171456984995604,21322.9495,-0.9220847440419289,1.23358439630629,-31.929282750005505,8.091666666666667,120.1814058956916
2021,"12,165,734",5.51198106675066,"7,324,189","1,607,926",60.20%,22.00%,99.03018333333334,-0.433198068764884,4.6296959074266555,286.1509673657268,152586500.0,3.2281961035688145,23594.03075,10.650877590832364,4.69785886363742,280.8299519436347,5.3500000000000005,-33.88259526261586
2022,"13,091,389",7.60870655235435,"7,666,277","1,635,347",58.60%,21.30%,96.84795416666667,-2.203600047191001,7.97203665547691,72.19352663505805,158298250.0,3.7432865948167082,25744.10825,9.11280282195952,8.00279982052121,70.34994138425151,3.6333333333333333,-32.08722741433022
